Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/3/15,31/03/2015,N/A,LNI,Lower North Island,442.067
1/3/15,31/03/2015,N/A,USI,Upper South Island,492.885
1/3/15,31/03/2015,N/A,LSI,Lower South Island,749.226
1/4/15,30/04/2015,N/A,UNI,Upper North Island,920.633
1/4/15,30/04/2015,N/A,CNI,Central North Island,673.756
1/4/15,30/04/2015,N/A,LNI,Lower North Island,438.004
1/4/15,30/04/2015,N/A,USI,Upper South Island,460.524
1/4/15,30/04/2015,N/A,LSI,Lower South Island,728.682
1/5/15,31/05/2015,N/A,UNI,Upper North Island,1026.759
1/5/15,31/05/2015,N/A,CNI,Central North Island,729.053
1/5/15,31/05/2015,N/A,LNI,Lower North Island,499.237
1/5/15,31/05/2015,N/A,USI,Upper South Island,499.251
1/5/15,31/05/2015,N/A,LSI,Lower South Island,766.65
1/6/15,30/06/2015,N/A,UNI,Upper North Island,1063.733
1/6/15,30/06/2015,N/A,CNI,Central North Island,728.054
1/6/15,30/06/2015,N/A,LNI,Lower North Island,520.031
1/6/15,30/06/2015,N/A,USI,Upper South Island,535.508
1/6/15,30/06/2015,N/A,LSI,Lower South Island,750.458
1/7/15,31/07/2015,N/A,UNI,Upper North Island,1132.784
1/7/15,31/07/2015,N/A,CNI,Central North Island,790.548
1/7/15,31/07/2015,N/A,LNI,Lower North Island,553.762
1/7/15,31/07/2015,N/A,USI,Upper South Island,566.403
1/7/15,31/07/2015,N/A,LSI,Lower South Island,780.561
1/8/15,31/08/2015,N/A,UNI,Upper North Island,1112.995
1/8/15,31/08/2015,N/A,CNI,Central North Island,785.881
1/8/15,31/08/2015,N/A,LNI,Lower North Island,546.434
1/8/15,31/08/2015,N/A,USI,Upper South Island,553.24
1/8/15,31/08/2015,N/A,LSI,Lower South Island,789.461
1/9/15,30/09/2015,N/A,UNI,Upper North Island,1033.051
1/9/15,30/09/2015,N/A,CNI,Central North Island,734.021
1/9/15,30/09/2015,N/A,LNI,Lower North Island,507.023
1/9/15,30/09/2015,N/A,USI,Upper South Island,507.479
1/9/15,30/09/2015,N/A,LSI,Lower South Island,759.631
1/10/15,31/10/2015,N/A,UNI,Upper North Island,971.01
1/10/15,31/10/2015,N/A,CNI,Central North Island,713.742
1/10/15,31/10/2015,N/A,LNI,Lower North Island,464.901
1/10/15,31/10/2015,N/A,USI,Upper South Island,526.95
1/10/15,31/10/2015,N/A,LSI,Lower South Island,782.731
1/11/15,30/11/2015,N/A,UNI,Upper North Island,927.262
1/11/15,30/11/2015,N/A,CNI,Central North Island,675.918
1/11/15,30/11/2015,N/A,LNI,Lower North Island,440.761
1/11/15,30/11/2015,N/A,USI,Upper South Island,542.606
1/11/15,30/11/2015,N/A,LSI,Lower South Island,757.538
1/12/15,31/12/2015,N/A,UNI,Upper North Island,909.975
1/12/15,31/12/2015,N/A,CNI,Central North Island,694.95
1/12/15,31/12/2015,N/A,LNI,Lower North Island,429.689
1/12/15,31/12/2015,N/A,USI,Upper South Island,549.407
1/12/15,31/12/2015,N/A,LSI,Lower South Island,764.865
1/1/16,31/01/2016,N/A,UNI,Upper North Island,912.604
1/1/16,31/01/2016,N/A,CNI,Central North Island,691.267
1/1/16,31/01/2016,N/A,LNI,Lower North Island,420.314
1/1/16,31/01/2016,N/A,USI,Upper South Island,471.519
1/1/16,31/01/2016,N/A,LSI,Lower South Island,748.363
1/2/16,29/02/2016,N/A,UNI,Upper North Island,887.921
1/2/16,29/02/2016,N/A,CNI,Central North Island,648.134
1/2/16,29/02/2016,N/A,LNI,Lower North Island,411.966
1/2/16,29/02/2016,N/A,USI,Upper South Island,488.374
1/2/16,29/02/2016,N/A,LSI,Lower South Island,706.655
1/3/16,31/03/2016,N/A,UNI,Upper North Island,938.648
1/3/16,31/03/2016,N/A,CNI,Central North Island,697.414
1/3/16,31/03/2016,N/A,LNI,Lower North Island,430.736
1/3/16,31/03/2016,N/A,USI,Upper South Island,509.073
1/3/16,31/03/2016,N/A,LSI,Lower South Island,763.451
